Restaurant Name,Cuisine,,,Day,Time,Order Details,OrderDate,DeliveryDate,OrderAmount,,
Cozee - Box Out,Diet,,,Thu, 11:04 PM,"ORDER #1100813400 | Thu, Aug 3, 11:04 PM"," Aug 3, 11:04 PM","Thu, Aug 3, 11:34 PM",287,"Paneer Tikka x 1, Cucumber Raita x 1",Thiruvanmiyur adyar
Cozee - Box Out,Diet,,,Mon, 12:44 AM,"ORDER #1100313005 | Mon, Jul 31, 12:44 AM"," Jul 31, 12:44 AM","Mon, Jul 31, 1:18 AM",277,"Paneer Manchurian x 1, Mineral Water Bottle (1 Litre) x 2",Thiruvanmiyur adyar
Cream Stone,Dessert,,,Sun, 11:12 PM,"ORDER #1138264458 | Sun, Feb 4, 11:12 PM"," Feb 4, 11:12 PM","Sun, Feb 4, 11:22 PM",298,Fruit Exotica x 2,ECR Neelangarai ECR-kottivakkam
Cream stone,Dessert,,,Sun, 11:48 PM,"ORDER #1137842607 | Sat, Feb 3, 11:48 PM"," Feb 3, 11:48 PM","Sun, Feb 4, 12:01 AM",304,"Fruit Exotica x 1, Willy Wonka x 1",Kasthuribai Nagar adyar
Cream Stone,Dessert,,,Mon, 11:13 PM,"ORDER #1132073287 | Mon, Jan 15, 11:13 PM"," Jan 15, 11:13 PM","Mon, Jan 15, 11:28 PM",298,Fruit Exotica x 2,ECR Neelangarai ECR-kottivakkam
Cream stone,Dessert,,,Sun, 12:40 AM,"ORDER #1123103391 | Sun, Dec 10, 12:40 AM"," Dec 10, 12:40 AM","Sun, Dec 10, 12:57 AM",652,"Fruit Exotica x 1, Willy Wonka x 1, Ferrero Rocher x 1",Kasthuribai Nagar adyar
Curry Home Hurry,Snacks,,,Fri, 5:40 PM,"ORDER #1164394523 | Fri, Apr 13, 5:40 PM"," Apr 13, 5:40 PM","Fri, Apr 13, 5:59 PM",100,"Masala Tea x 3, Keerai Vadai (2 Pcs) x 1",Besant Nagar adyar
Dal Roti Express,Diet,,,Tue, 10:22 PM,"ORDER #1100549084 | Tue, Aug 1, 10:22 PM"," Aug 1, 10:22 PM","Tue, Aug 1, 10:52 PM",200,"Boiled Egg (2 Pcs) x 1, Egg Bhurji x 1, Bhindi Bhurji x 1",LB Road adyar
Dal Roti Express,Diet,,,Thu, 1:16 PM,"ORDER #1099698768 | Thu, Jul 27, 1:16 PM"," Jul 27, 1:16 PM","Thu, Jul 27, 1:42 PM",165,"Kadai Paneer x 1, Egg Bhurji x 1",LB Road adyar
Doctor's Bubble Tea,Dessert,,,Mon, 5:00 PM,"ORDER #1148282084 | Mon, Mar 5, 5:00 PM"," Mar 5, 5:00 PM","Mon, Mar 5, 5:17 PM",120,Passion Fruit Freeze Milkshake x 1,Besant Nagar adyar
Domino's Pizza,Pizza,,,Thu, 10:06 PM,"ORDER #1160868700 | Thu, Apr 5, 10:06 PM"," Apr 5, 10:06 PM","Thu, Apr 5, 11:36 PM",529,"Cheese Jalapeno Dip x 1, Garlic Breadsticks x 1, Mexican Green Wave x 1",Thiruvanmiyur adyar
Faasos,North Indian,,,Fri, 1:19 PM,"ORDER #1146957848 | Fri, Mar 2, 1:19 PM"," Mar 2, 1:19 PM","Fri, Mar 2, 2:20 PM",295,"Smoked Butter Chicken Kulcha Combo x 1, Peri Peri Paneer Steak x 1","Sangam Colony,East Coast Road ECR-kottivakkam"
Faasos,North Indian,,,Wed, 1:02 PM,"ORDER #1134480809 | Wed, Jan 24, 1:02 PM"," Jan 24, 1:02 PM","Wed, Jan 24, 1:35 PM",283,"Chole Pav Slider x 1, Reshmi Chicken Kebab Rice Feast x 1, Peri Peri Paneer Steak x 1","Sangam Colony,East Coast Road ECR-kottivakkam"
Faasos,North Indian,,,Tue, 11:33 PM,"ORDER #1134417393 | Tue, Jan 23, 11:33 PM"," Jan 23, 11:33 PM","Tue, Jan 23, 11:58 PM",321,"Chole Kulcha Meal x 3, Gulab Jamun x 1, Paneer Tikka Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Fri, 4:04 PM,"ORDER #1129133520 | Fri, Jan 5, 4:04 PM"," Jan 5, 4:04 PM","Fri, Jan 5, 4:38 PM",306,"Dal Makhani Kulcha Combo x 1, Chai for 4 x 1, Chole Pav Slider x 2, Chaas & Choco Fantasy x 1",Besant Nagar adyar
Faasos,North Indian,,,Tue, 3:34 PM,"ORDER #1128558753 | Tue, Jan 2, 3:34 PM"," Jan 2, 3:34 PM","Tue, Jan 2, 4:00 PM",300,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sat, 11:15 AM,"ORDER #1126064224 | Sat, Dec 23, 11:15 AM"," Dec 23, 11:15 AM","Sat, Dec 23, 11:48 AM",300,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sun, 4:35 PM,"ORDER #1124826594 | Sun, Dec 17, 4:35 PM"," Dec 17, 4:35 PM","Sun, Dec 17, 5:03 PM",290,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Wed, 2:24 PM,"ORDER #1123829056 | Wed, Dec 13, 2:24 PM"," Dec 13, 2:24 PM","Wed, Dec 13, 2:47 PM",154,Dal Makhani Kulcha Combo x 1,Besant Nagar adyar
Faasos,North Indian,,,Sun, 3:14 PM,"ORDER #1123221693 | Sun, Dec 10, 3:14 PM"," Dec 10, 3:14 PM","Sun, Dec 10, 3:42 PM",450,"Dal Makhani Kulcha Combo x 1, Chole Signature Rice Feast x 1, Chai for 4 with Falafel x 1, Chole Pav Slider x 1",Besant Nagar adyar
Faasos,North Indian,,,Sun, 11:34 AM,"ORDER #1123133909 | Sun, Dec 10, 11:34 AM"," Dec 10, 11:34 AM","Sun, Dec 10, 12:02 PM",430,"Dal Makhani Kulcha Combo x 2, Chai for 4 x 1, Chole Pav Slider x 2",Besant Nagar adyar
Faasos,Snacks,,,Sat, 3:42 PM,"ORDER #1122940804 | Sat, Dec 9, 3:42 PM"," Dec 9, 3:42 PM","Sat, Dec 9, 4:17 PM",267,"Chai for 8 x 1, Kesar Muesli x 1, Gulab Jamun x 1",Besant Nagar adyar
Faasos,North Indian,,,Mon, 2:02 PM,"ORDER #1118971648 | Mon, Nov 20, 2:02 PM"," Nov 20, 2:02 PM","Mon, Nov 20, 2:21 PM",0,"Dal Makhani Kulcha Combo x 1, Chai for 8 x 1",Besant Nagar adyar
Faasos,North Indian,,,Can, 1:04 PM,"ORDER #1118957660 | Mon, Nov 20, 1:04 PM"," Nov 20, 1:04 PM","Cancelled on Mon, Nov 20, 1:55 PM",323,"Dal Makhani Kulcha Combo x 1, Chai for 8 x 1",Besant Nagar adyar
Faasos,North Indian,,,Fri, 11:34 PM,"ORDER #1113050158 | Thu, Oct 19, 11:34 PM"," Oct 19, 11:34 PM","Fri, Oct 20, 12:11 AM",330,"Dal Makhani Kulcha Combo x 1, Chole Signature Rice Feast x 1",Besant Nagar adyar
Faasos,North Indian,,,Mon, 10:29 PM,"ORDER #1106717863 | Mon, Sep 11, 10:29 PM"," Sep 11, 10:29 PM","Mon, Sep 11, 10:56 PM",292,"Dal Rice with Omelette x 1, Cheese Melt Paneer Wrap x 1",Besant Nagar adyar
Food Corner,Snacks,,,Sun, 10:17 AM,"ORDER #1165289384 | Sun, Apr 15, 10:17 AM"," Apr 15, 10:17 AM","Sun, Apr 15, 10:50 AM",120,Ginger Tea x 4,Near RTO ECR-kottivakkam
Food Out,North Indian,,,Mon, 11:36 PM,"ORDER #1162933212 | Mon, Apr 9, 11:36 PM"," Apr 9, 11:36 PM","Mon, Apr 9, 11:56 PM",140,Kadai Paneer Masala x 1,Thiruvanmiyur adyar
Food Out,North Indian,,,Mon, 10:59 PM,"ORDER #1096528231 | Mon, Jul 3, 10:59 PM"," Jul 3, 10:59 PM","Mon, Jul 3, 11:23 PM",157,Paneer Pepper Fry x 1,Thiruvanmiyur adyar
Gangotree,Chaat,,,Sun, 3:33 PM,"ORDER #1105409737 | Sun, Sep 3, 3:33 PM"," Sep 3, 3:33 PM","Sun, Sep 3, 4:02 PM",438,"Masala Puri x 1, Dahi Papri Chaat x 1, Cheese Pav Bhaji x 1, Pani Puri x 1, Raj Kachori x 1",Gandhi Nagar adyar
Gangotree,Chaat,,,Wed, 12:58 PM,"ORDER #1076270628 | Wed, Jan 4, 12:58 PM"," Jan 4, 12:58 PM","Wed, Jan 4, 2:01 PM",244,"Masala Paneer Wrap x 2, Vada Pav x 1",Gandhi Nagar adyar
